StockCode,Description,Quantity,CATEGORY,TYPE
21671,RED SPOT CERAMIC DRAWER KNOB,9029,OTHER ,
22130,PARTY CONE CHRISTMAS DECORATION ,9026,DECORATIONS,
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,8998,OTHER ,
21121,SET/10 RED POLKADOT PARTY CANDLES,8988,CANDLES,
21096,SET/6 FRUIT SALAD  PAPER PLATES,8909,PLATES,
21169,YOU'RE CONFUSING ME METAL SIGN ,8907,SIGN,
21499,BLUE POLKADOT WRAP,8877,OTHER ,
23203,JUMBO BAG DOILEY PATTERNS,8873,BAG,JUMBO
21908,CHOCOLATE THIS WAY METAL SIGN,8871,SIGN,
22384,LUNCH BAG PINK RETROSPOT,8807,BAG,
22704,WRAP RED APPLES ,8803,OTHER ,
15034,PAPER POCKET TRAVELING FAN ,8733,OTHER ,
23301,GARDENERS KNEELING PAD KEEP CALM ,8711,OTHER ,
22621,TRADITIONAL KNITTING NANCY,8690,OTHER ,
21670,BLUE SPOT CERAMIC DRAWER KNOB,8677,OTHER ,
37340,MULTICOLOUR SPRING FLOWER MUG,8661,MUG,
21980,PACK OF 12 RED RETROSPOT TISSUES ,8636,TISSUES,
22440,BALLOON WATER BOMB PACK OF 35,8622,OTHER ,
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,8595,OTHER ,
22907,PACK OF 20 NAPKINS PANTRY DESIGN,8501,OTHER ,
22966,GINGERBREAD MAN COOKIE CUTTER,8501,OTHER ,
22090,PAPER BUNTING RETROSPOT,8457,BUNTING,
21098,CHRISTMAS TOILET ROLL,8454,OTHER ,
23293,SET OF 12 FAIRY CAKE BAKING CASES,8454,OTHER ,
22084,PAPER CHAIN KIT EMPIRE,8450,OTHER ,
22632,HAND WARMER RED RETROSPOT,8442,OTHER ,
22065,CHRISTMAS PUDDING TRINKET POT ,8433,OTHER ,
22111,SCOTTIE DOG HOT WATER BOTTLE,8426,OTHER ,
23298,SPOTTY BUNTING,8388,BUNTING,
35970,ZINC FOLKART SLEIGH BELLS,8373,OTHER ,
21868,POTTING SHED TEA MUG,8346,MUG,
22620,4 TRADITIONAL SPINNING TOPS,8339,OTHER ,
22087,PAPER BUNTING WHITE LACE,8310,BUNTING,
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,8303,BAG,
21500,PINK POLKADOT WRAP ,8300,OTHER ,
23309,SET OF 60 I LOVE LONDON CAKE CASES ,8244,CAKE CASES,OTHER
82581,TOILET METAL SIGN,8225,SIGN,
22295,HEART FILIGREE DOVE LARGE,8196,OTHER ,
21900,"KEY FOB , SHED",8158,OTHER ,
85150,LADIES & GENTLEMEN METAL SIGN,8157,SIGN,
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8149,BAG,JUMBO
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,8136,OTHER ,
84988,SET OF 72 PINK HEART PAPER DOILIES,8135,OTHER ,
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,8122,OTHER ,
23076,ICE CREAM SUNDAE LIP GLOSS,8072,OTHER ,
22553,PLASTERS IN TIN SKULLS,7988,OTHER ,
22138,BAKING SET 9 PIECE RETROSPOT ,7983,OTHER ,
23230,WRAP ALPHABET DESIGN,7926,OTHER ,
22726,ALARM CLOCK BAKELIKE GREEN,7886,OTHER ,
21989,PACK OF 20 SKULL PAPER NAPKINS,7874,OTHER ,
22698,PINK REGENCY TEACUP AND SAUCER,7862,OTHER ,
84987,SET OF 36 TEATIME PAPER DOILIES,7846,OTHER ,
21917,SET 12 KIDS  WHITE CHALK STICKS,7826,OTHER ,
23204,CHARLOTTE BAG APPLES DESIGN,7790,BAG,
22464,HANGING METAL HEART LANTERN,7768,OTHER ,
22047,EMPIRE GIFT WRAP,7750,OTHER ,
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,7708,OTHER ,
22090,PAPER BUNTING RETRO SPOTS,7678,BUNTING,
22154,ANGEL DECORATION 3 BUTTONS ,7671,DECORATIONS,
21892,TRADITIONAL WOODEN CATCH CUP GAME ,7651,OTHER ,
22945,CHRISTMAS METAL TAGS ASSORTED ,7587,OTHER ,
84950,ASSORTED COLOUR T-LIGHT HOLDER,7559,T-LIGHT HOLDER/ACCESSORY,
84375,SET OF 20 KIDS COOKIE CUTTERS,7547,OTHER ,
21986,PACK OF 12 PINK SPOT TISSUES ,7493,TISSUES,
21172,PARTY METAL SIGN ,7483,SIGN,
22335,HEART DECORATION PAINTED ZINC ,7481,DECORATIONS,
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7422,OTHER ,
22712,CARD DOLLY GIRL ,7410,OTHER ,
23207,LUNCH BAG ALPHABET DESIGN,7403,BAG,
10002,INFLATABLE POLITICAL GLOBE ,7397,OTHER ,
21754,HOME BUILDING BLOCK WORD,7396,OTHER ,
22041,"RECORD FRAME 7"" SINGLE SIZE ",7376,OTHER ,
22491,PACK OF 12 COLOURED PENCILS,7374,OTHER ,
22816,CARD MOTORBIKE SANTA,7374,OTHER ,
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7336,OTHER ,
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,7306,OTHER ,
21519,GIN & TONIC DIET GREETING CARD ,7296,OTHER ,
22834,HAND WARMER BABUSHKA DESIGN,7281,OTHER ,
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,7272,OTHER ,
22950,36 DOILIES VINTAGE CHRISTMAS,7240,OTHER ,
15056BL,EDWARDIAN PARASOL BLACK,7238,OTHER ,
21988,PACK OF 6 SKULL PAPER PLATES,7226,PLATES,
21078,SET/20 STRAWBERRY PAPER NAPKINS ,7196,OTHER ,
82582,AREA PATROLLED METAL SIGN,7196,SIGN,
21623,VINTAGE UNION JACK MEMOBOARD,7144,OTHER ,
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,7099,OTHER ,
22710,WRAP I LOVE LONDON ,7084,OTHER ,
37370,RETRO COFFEE MUGS ASSORTED,7082,MUG,
22419,LIPSTICK PEN RED,7057,OTHER ,
21481,FAWN BLUE HOT WATER BOTTLE,7039,OTHER ,
21830,ASSORTED CREEPY CRAWLIES,7037,OTHER ,
20991,JAZZ HEARTS MAGNETIC MEMO PAD,7030,OTHER ,
21500,PINK SPOTS  WRAP ,7025,OTHER ,
22609,PENS ASSORTED SPACEBALL,7021,OTHER ,
22082,RIBBON REEL STRIPES DESIGN ,7004,OTHER ,
23200,JUMBO BAG PEARS,6937,BAG,JUMBO
22413,METAL SIGN TAKE IT OR LEAVE IT ,6919,SIGN,
21507,"ELEPHANT, BIRTHDAY CARD, ",6909,OTHER ,
22488,NATURAL SLATE RECTANGLE CHALKBOARD,6905,OTHER ,
21122,SET/10 PINK POLKADOT PARTY CANDLES,6872,CANDLES,
21810,CHRISTMAS HANGING STAR WITH BELL,6870,OTHER ,
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6866,BOX,
22037,ROBOT BIRTHDAY CARD,6866,OTHER ,
21974,SET OF 36 PAISLEY FLOWER DOILIES,6823,OTHER ,
21156,RETROSPOT CHILDRENS APRON,6818,OTHER ,
47503E,ASS FLORAL PRINT SCISSORS,6801,SCISSOR,
84406B,CREAM CUPID HEARTS COAT HANGER,6786,OTHER ,
23078,ICE CREAM PEN LIP GLOSS ,6783,OTHER ,
21621,VINTAGE UNION JACK BUNTING,6755,BUNTING,
22161,HEART DECORATION RUSTIC HANGING ,6753,DECORATIONS,
22549,PICTURE DOMINOES,6687,OTHER ,
23300,GARDENERS KNEELING PAD CUP OF TEA ,6675,OTHER ,
21935,SUKI  SHOULDER BAG,6657,BAG,
16161U,WRAP SUKI AND FRIENDS,6651,OTHER ,
21313,GLASS HEART T-LIGHT HOLDER ,6628,T-LIGHT HOLDER/ACCESSORY,
22198,LARGE POPCORN HOLDER ,6619,OTHER HOLDER,
21875,KINGS CHOICE MUG,6613,MUG,
20718,RED SPOTTY SHOPPER BAG,6612,BAG,
22595,CHRISTMAS GINGHAM HEART,6584,OTHER ,
21508,VINTAGE KID DOLLY CARD ,6581,OTHER ,
21936,RED RETROSPOT PICNIC BAG,6578,BAG,
22437,SET OF 9 BLACK SKULL BALLOONS,6572,OTHER ,
23209,LUNCH BAG DOILEY PATTERN ,6552,BAG,
51014A,"FEATHER PEN,HOT PINK",6535,OTHER ,
82552,WASHROOM METAL SIGN,6529,SIGN,
22818,CARD CHRISTMAS VILLAGE,6526,OTHER ,
23209,LUNCH BAG VINTAGE DOILY ,6526,BAG,
22150,3 STRIPEY MICE FELTCRAFT,6515,OTHER ,
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,6478,T-LIGHT HOLDER/ACCESSORY,
20718,RED RETROSPOT SHOPPER BAG,6385,BAG,
48138,DOORMAT UNION FLAG,6362,OTHER ,
22083,PAPER CHAIN KIT RETROSPOT,6357,OTHER ,
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,6342,OTHER ,
20975,12 PENCILS SMALL TUBE RED SPOTTY,6323,OTHER ,
84971S,SMALL HEART FLOWERS HOOK ,6317,OTHER ,
22728,ALARM CLOCK BAKELIKE PINK,6309,OTHER ,
22631,CIRCUS PARADE LUNCH BOX ,6300,BOX,
84832,ZINC WILLIE WINKIE  CANDLE STICK,6299,CANDLES,
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6288,OTHER ,
22540,MINI JIGSAW CIRCUS PARADE ,6283,OTHER ,
23208,LUNCH BAG VINTAGE LEAF DESIGN,6269,BAG,
23245,SET OF 3 REGENCY CAKE TINS,6267,OTHER ,
72232,FENG SHUI PILLAR CANDLE,6254,CANDLES,
22713,CARD I LOVE LONDON ,6237,OTHER ,
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,6230,OTHER ,
17096,ASSORTED LAQUERED INCENSE HOLDERS,6227,OTHER HOLDER,
16044,POP-ART FLUORESCENT PENS,6193,OTHER ,
22196,SMALL HEART MEASURING SPOONS,6185,OTHER ,
22139,RETROSPOT TEA SET CERAMIC 11 PC ,6161,OTHER ,
22152,PLACE SETTING WHITE STAR,6158,PLACE SETTING,
22595,GINGHAM HEART DECORATION,6152,DECORATIONS,
23170,REGENCY TEA PLATE ROSES ,6151,PLATES,
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,6151,CAKE CASES,OTHER
23171,REGENCY TEA PLATE GREEN ,6150,PLATES,
21121,SET/10 RED SPOTTY PARTY CANDLES,6148,CANDLES,
22046,TEA PARTY  WRAPPING PAPER ,6141,OTHER ,
21429,RED GINGHAM ROSE JEWELLERY BOX,6139,BOX,
23295,SET OF 12 MINI LOAF BAKING CASES,6127,OTHER ,
